"Genetic ID (suffices: "".DG"" is a high coverage shotgun genome with diploid genotype calls; "".SG"" is a high coverage shotgun genome with diploid genotype calls; "".AG,  .TW, .BY, .AA, .EC, .WGC""  are Agilent 1240K or Twist Ancient DNA or ""Big Yoruba"" or ""Archaic Admixture"" or ""Exome"" or ""Whole-Genome Capture"" data respectively; each analyzed position is represented by a randomly chosen sequence allowing for combinations when merged (separable by readgroups if possible).  "".HO"" is Affymetrix Human Origins genotype data and ""REF"" is reference haploid data.",Persistent Genetic ID,Individual ID,Skeletal code,Skeletal element,"First publication: Abbreviation for earliest paper that reported data from this individual (this is not always the same as the data being analyzed, which may be from a different or improved dataset)",Publication abbreviation,doi for publication of this representation of the data,Link to the most permanent repository hosting these data,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990+-40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE","Age at death, Morphological sex from physical anthropology",Group ID,Locality,Political Entity,Latitude,Longitude,Pulldown Strategy,Suffices (indicating data types used for sources which can be a subset of that in bam),Data type,No. Libraries,Mean coverage on 1.15M autosomal targets for full bam (if no off-target entry not up-to-date),"Mean coverage on non-targeted autosomal SNPs for full bam - not yet computed if """".."""" and bam restricted to on-target SNPs if """"0""""",SNPs hit on autosomal targets (Computed using easystats on enhance 2M capture subset) ,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),SNPs hit on autosomal targets (Computed using easystats on Compatibility snpset),SNPs hit on autosomal targets (Computed using easystats on Compatibility_HO snpset),Molecular Sex,Family relations,Sum total of ROH segments >20cM,Sum total of ROH segments >20cM.1,Y haplogroup in terminal mutation notation automatically called based on Y-full 12.03 with the software described in Lazaridis et al. Science 2022,Y haplogroup  in ISOGG notation automatically called based on Yfull 12.03 with the software described in Lazaridis et al. Science 2022,Y haplogroup manually called if different from automatic,mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,"mtDNA match to consensus if >10x (merged data) [estimates are typically off by (uncorrected + power(10,-0.271*LOG(mt-coverage)-1.120)]",Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),ANGSD MOM 95% CI truncated at 0 (only if male and >=200 SNPs) [estimates are typically 0.005 too high],hapConX 95% CI truncated at 0 (only if male and >=2000 SNPs covered on X chromosome) [estimates are typically 0.005 too high],"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,endogenous by library (computed on shotgun data),ASSESSMENT,"ASSESSMENT WARNINGS: X contamination interval is listed if lower bound is >=0.005 for either ANGSD or hapConX, ""QUESTIONABLE"" if lower bound is 0.015-0.035 for hapConX (or ANGSD if no hapConX computation), ""CRITICAL"" or ""FAIL"" if lower bound is >0.03  for hapConX (or ANGSD if no hapConX computation) |mtcontam confidence interval is listed if coverage >10 and upper bound is <0.98, ""QUESTIONABLE"" if upper bound is 0.9-0.95; ""CRITICAL"" if upper bound is <0.9, QUESTIONABLE status gets overriden by ANGSD or hapConX if upper bound of contamination estimate is <0.01 | damage for ds.half is ""CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1 | sex.ratio is QUESTIONABLE if [0.03,0.1) or (0.30,0.32]; CRITICAL/FAIL if [0.1,0.3] | f4(All,Damage;CEU,CHB) for non-damage-restricted samples is ""CRITICAL/FAIL"" if |Z|>=3.5, QUESTIONABLE if 3.5>Z>=3.0, listed if Z>=2.0",subpopulation,date_CE
TAQ023.AG,5878,TAQ023,"122, TAQ023",petrous (cochlea),PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,Direct: IntCal20,2265,62.0,"396-209 calBCE (2268±21 BP, MAMS-42835)",..,Italy_Lazio_IA_c_Etruscan,"Tarquinia (Lazio, Viterbo)",Italy,42.249972,11.767892,Native Pulldown on 3.2M snpset,AG,1240k,..,1.68216096,0.09289721,1158901,773039,405442,735987,190212,M,..,0,0,G-Z1903,G2a2b2a1a1c1,..,70.21,U5b2a3,..,..,..,"[0.004,0.012]","[0.004,0.009]",ds.half,..,..,Pass,..,Italian_Central_Med,-315
TAQ024.AG,5879,TAQ024,"128, TAQ024",petrous (cochlea),PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,Direct: IntCal20,2167,84.0,"354-57 calBCE (2155±28 BP, MAMS-40632)",..,Italy_Lazio_IA_c_IA_d_Etruscan,"Tarquinia (Lazio, Viterbo)",Italy,42.249972,11.767892,Native Pulldown on 3.2M snpset,AG,1240k,..,2.10434463,0.23106794,1293657,838002,441913,829238,208168,M,"1.0d siblings:TAQ001:TAQ024,1.0d siblings:TAQ017:TAQ024",0,0,R-BY61900,R1b1a1b1a,..,25.569,T2e,..,..,..,"[0.001,0.006]","[0.002,0.005]",ds.half,..,..,Pass,..,Italian_Central_Med,-217
VEN005.AG,5882,VEN005,1.1,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.24315967,0.00647857,311047,220321,116895,192067,53867,F,2.0d:VEN005:VEN009,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),93.2,HV0e,..,..,..,n/a (female),n/a (female),ds.half,..,..,Pass,..,Italian_Central_Med,700
VEN006.AG,5883,VEN006,1.4,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.80170584,0.01855998,665098,464644,247659,409394,113464,M,..,0,0,J-L283,J2b2a1,..,285.9,T1a,..,..,..,"[0.016,0.04]","[0.014,0.025]",ds.half,..,..,Questionable,"ANGSD=[0.016,0.04], hapConX=[0.014,0.025]",Italian_Central_Med,700
VEN008.AG,5884,VEN008,2.3,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.08120705,0.00220222,114955,83267,43727,70024,19868,M,1.0d:VEN008:VEN017,n/a (<300K SNPs),n/a (<300K SNPs),E-M78,E1b1b1a1,..,1339.6,H6c,..,..,..,n/a (<200 SNPs),n/a (<2000 X SNPs),ds.half,..,..,Pass,..,Italian_Central_Med,700
VEN009.AG,5885,VEN009,2.6,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.10088047,0.0024425,139944,100340,53450,85554,24286,F,2.0d:VEN005:VEN009,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),220.4,L2b1a,..,..,..,n/a (female),n/a (female),ds.half,..,..,Pass,..,Italian_Central_Med,700
VEN010.AG,5886,VEN010,3.1,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.10798435,0.00228959,147120,107127,56251,89160,25157,M,2.0d:VEN010:VEN016,n/a (<300K SNPs),n/a (<300K SNPs),F,F,..,73.1,W6,..,..,..,n/a (<200 SNPs),n/a (<2000 X SNPs),ds.half,..,..,Pass,..,Italian_Central_Med,700
VEN012.AG,5887,VEN012,3.3,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.2061724,0.00727288,271488,192153,101661,169098,46969,M,2.0d:VEN012:VEN021,n/a (<300K SNPs),n/a (<300K SNPs),G-FGC37656,G2a2b2a1a1c3a,..,106.5,J1c3,..,..,..,n/a (<200 SNPs),"[0.022,0.059]",ds.half,..,..,Questionable,"hapConX=[0.022,0.059]",Italian_Central_Med,700
VEN013.AG,5888,VEN013,3.5,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,1.04141959,0.02560549,792936,554539,293294,491117,134916,M,..,0,0,J-Y86930,J2b2a1a1a1b2~,..,211.8,H14a,..,..,..,"[0.005,0.016]","[0.006,0.013]",ds.half,..,..,Pass,"ANGSD=[0.005,0.016], hapConX=[0.006,0.013]",Italian_Central_Med,700
VEN014.AG,5889,VEN014,3.6,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.04617347,0.00133841,66965,47782,25388,41012,11459,F,..,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),50.8,H,..,..,..,n/a (female),n/a (female),ds.half,..,..,Pass,..,Italian_Central_Med,700
VEN015.AG,5890,VEN015,3.8,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,3.45156648,0.08938538,1302979,867610,457897,830361,214903,F,..,0,0,n/a (female),n/a (female),n/a (female),305.4,H1,..,..,..,n/a (female),n/a (female),ds.half,..,..,Pass,..,Italian_Central_Med,700
VEN016.AG,5891,VEN016,fossa VI.C,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.56707099,0.01503524,613931,418919,224038,383520,103955,F,2.0d:VEN010:VEN016,0,0,n/a (female),n/a (female),n/a (female),74.4,I1b,..,..,..,n/a (female),n/a (female),ds.half,..,..,Pass,..,Italian_Central_Med,700
VEN017.AG,5892,VEN017,6.1,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.03243155,0.00103756,47299,33649,17751,28822,8002,M,1.0d:VEN008:VEN017,n/a (<300K SNPs),n/a (<300K SNPs),G-L30,G2a2b,..,646.3,H35,..,..,..,n/a (<200 SNPs),n/a (<2000 X SNPs),ds.half,..,..,Pass,..,Italian_Central_Med,700
VEN018.AG,5893,VEN018,6.2,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.0622037,0.00190237,88470,63302,33539,54514,15308,F,..,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),69.7,H5a1g1a,..,..,..,n/a (female),n/a (female),ds.half,..,..,Pass,..,Italian_Central_Med,700
VEN021.AG,5894,VEN021,6.8,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.04093638,0.00102962,59253,42683,22876,35901,10313,F,2.0d:VEN012:VEN021,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),257,U5a2d1,..,..,..,n/a (female),n/a (female),ds.half,..,..,Pass,..,Italian_Central_Med,700
VEN022.AG,5895,VEN022,6.9,tooth,PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,"Context: Archaeological - Layer Date: 651-774 calCE (1334±23 BP, MAMS-28366)",1250,58.0,600-800 CE,..,Italy_Basilicata_LateAntiquity_Roman,"Venosa (Basilicata, Potenza)",Italy,40.968228,15.827097,Native Pulldown on 3.2M snpset,AG,1240k,..,0.03048046,0.00096012,44743,31231,16664,27748,7667,M,..,n/a (<300K SNPs),n/a (<300K SNPs),F,F,..,11.7,H7a1,..,..,..,n/a (<200 SNPs),n/a (<2000 X SNPs),ds.half,..,..,Pass,..,Italian_Central_Med,700
VET005.AG,5899,VET005,T8 cranio A,petrous (cochlea),PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,Direct: IntCal20,2226,50.0,"373-198 calBCE (2213±21 BP, MAMS-36120)",..,Italy_Tuscany_IA_c_Etruscan-oSteppe,"Vetulonia (Tuscany, Grosseto)",Italy,42.920709,10.971394,Native Pulldown on 3.2M snpset,AG,1240k,..,1.33621058,0.03743868,986828,674017,356841,622998,167103,F,..,0,0,n/a (female),n/a (female),n/a (female),105.2194,H79,..,..,..,n/a (female),n/a (female),ds.half,..,..,Pass,..,Italian_Central_Med,-276
VET006_9.AG,5900,VET006_9,T8 cranio C/T8 n.666,multiple elements (petrous; tooth),PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,Direct: IntCal20,2225,54.0,"361-175 calBCE (2197±20 BP, MAMS-42833)",..,Italy_Tuscany_IA_c_IA_d_Etruscan-oEastMediterranean,"Vetulonia (Tuscany, Grosseto)",Italy,42.920709,10.971394,Native Pulldown on 3.2M snpset,AG,1240k,..,1.43064854,0.08869929,1081566,727267,380114,684776,177885,F,..,0,0,n/a (female),n/a (female),n/a (female),52.5591,J1c3,..,..,..,n/a (female),n/a (female),ds.half,..,..,Pass,..,Italian_Central_Med,-275
VET008.AG,5902,VET008,T8 cranio NP,petrous (cochlea),PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,Direct: IntCal20,2229,54.0,"384-197 calBCE (2219±29 BP, MAMS-40638)",..,Italy_Tuscany_IA_c_Etruscan-oEastMediterranean,"Vetulonia (Tuscany, Grosseto)",Italy,42.920709,10.971394,Native Pulldown on 3.2M snpset,AG,1240k,..,1.65946574,0.14678201,1160240,766254,407612,737837,191485,F,..,0,0,n/a (female),n/a (female),n/a (female),16.4442,H3,..,..,..,n/a (female),n/a (female),ds.half,..,..,Pass,..,Italian_Central_Med,-279
VOL001.AG,5906,VOL001,30.1.2.1,petrous (cochlea),PosthKrauseSciAdv2021,PosthKrauseSciAdv2021,https://doi.org/10.1126/sciadv.abi7673,ENA:PRJEB42866,Direct: IntCal20,2072,47.0,"195-50 calBCE (2111±21 BP, MAMS-36122)",..,Italy_Tuscany_IA_d_Etruscan,"Volterra (Tuscany, Pisa)",Italy,43.415804,10.85051,Native Pulldown on 3.2M snpset,AG,1240k,..,3.03238635,0.09650932,1351903,888532,470892,866116,222277,M,..,29.988003,29.988003,R-L2,R1b1a1b1a1a2b1,..,410.8017,H13a1a1,..,..,..,"[0.006,0.011]","[0.007,0.011]",ds.half,..,..,Pass,"ANGSD=[0.006,0.011], hapConX=[0.007,0.011]",Italian_Central_Med,-122
ATT27.SG,5942,ATT27,ATT27,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: La Tène B1-B2,2225,43.0,350-200 BCE,Immature,France_HautsdeFrance_Oise_IA,"Le Buissonnet (Hauts-de-France Region, Oise Department, Compiègne Arrondissement, Attichy-Bitry)",France,49.4167,3.05,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.16431652,0.13906333,286752,174420,93475,188593,44467,F,"2.0d:ATT27:ATT3,2.0d:ATT27:ATT52-2",n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),..,K1a,..,0.1998,0.001,n/a (female),n/a (female),..,..,0.27,Pass,..,Western_European,-275
ATT3.SG,5943,ATT3,ATT3,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: La Tène B1-B2,2225,43.0,350-200 BCE,adult,France_HautsdeFrance_Oise_IA,"Le Buissonnet (Hauts-de-France Region, Oise Department, Compiègne Arrondissement, Attichy-Bitry)",France,49.4167,3.05,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.29149803,0.25316358,476315,289839,153713,314739,73343,M,"2.0d:ATT27:ATT3,2.5d:ATT3:ATT52-2",n/a (<300K SNPs),n/a (<300K SNPs),R-L52,R1b1a1b1a1,..,..,H1 ?,..,0.19,0.085,..,"[0,0.005]",..,..,0.4,Pass,"sex.ratio.shotgun=0.085, saved by hapConX=[0,0.005]",Western_European,-275
ATT52-2.SG,5944,ATT52-2,ATT52-2,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: La Tène B1-B2,2225,43.0,350-200 BCE,Immature,France_HautsdeFrance_Oise_IA,"Le Buissonnet (Hauts-de-France Region, Oise Department, Compiègne Arrondissement, Attichy-Bitry)",France,49.4167,3.05,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.19447976,0.16643814,334871,202704,108597,220727,51678,F,"2.0d:ATT27:ATT52-2,2.5d:ATT3:ATT52-2",n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),..,K1a3a,..,0.2077,0.001,n/a (female),n/a (female),..,..,0.18,Pass,..,Western_European,-275
BES1096B.SG,5945,BES1096B,BES1096B,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: La Tène,2425,14.0,500-450 BCE,Immature,France_Occitanie_IA,"La Monédière (Occitanie Region, Hérault Department, Béziers Arrondissement, Bessan)",France,43.3667,3.4167,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.11008926,0.09720136,191437,116645,60924,126080,28909,M,..,n/a (<300K SNPs),n/a (<300K SNPs),R-M269,R1b1a1b,..,..,X2,..,0.0315,0.084,..,"[0,0.014]",..,..,0.22,Questionable,sex.ratio.shotgun=0.084,Western_European,-475
BES1154.SG,5946,BES1154,BES1154,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: La Tène,2450,29.0,550-450 BCE,Immature,France_Occitanie_IA,"La Monédière (Occitanie Region, Hérault Department, Béziers Arrondissement, Bessan)",France,43.3667,3.4167,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.10344252,0.10468473,162235,106693,45389,109777,21620,F,..,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),..,V9,..,0.0649,0.001,n/a (female),n/a (female),..,..,0.73,Pass,..,Western_European,-500
BES1249.SG,5947,BES1249,BES1249,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: La Tène,2050,29.0,150-50 BCE,adult,France_Occitanie_IA,"La Monédière (Occitanie Region, Hérault Department, Béziers Arrondissement, Bessan)",France,43.3667,3.4167,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.07981044,0.07284393,135467,84177,42084,90236,19998,M,..,n/a (<300K SNPs),n/a (<300K SNPs),G-L497,G2a2b2a1a1b,..,..,H2a2a ?,..,0.0565,0.083,n/a (female),n/a (female),..,..,0.49,Questionable,sex.ratio.shotgun=0.083,Western_European,-100
BFT228.SG,5948,BFT228,BFT228,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: La Tène B,2275,14.0,350-300 BCE,adult,France_HautsdeFrance_IA,"Bucy-le-Long ""la Fosse Tounise"" (Hauts-de-France Region, Aisne Department, Soissons Arrondissement)",France,49.4,3.3833,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.12380425,0.10814592,216951,133430,69425,143487,33025,M,..,n/a (<300K SNPs),n/a (<300K SNPs),I-Y7240,I2a1b1a1b2,..,..,H2a2a ?,..,0.0392,0.083,n/a (female),n/a (female),..,..,0.17,Questionable,sex.ratio.shotgun=0.083,Western_European,-325
BLH447.SG,5949,BLH447,BLH447,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: La Tène B,2275,14.0,350-300 BCE,adult,France_HautsdeFrance_IA,"Bucy-le-Long ""la Heronnière"" (Hauts-de-France Region, Aisne Department, Soissons Arrondissement)",France,49.40001,3.3833,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.1078844,0.0928277,190770,116984,61261,125974,29082,F,..,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),..,H5a1 ?,..,0.0458,0.001,n/a (female),n/a (female),..,..,0.13,Pass,..,Western_European,-325
BUCH48-1.SG,5952,BUCH48-1,BUCH48-1,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: Archaeological,2325,72.0,500-250 BCE,adult,France_GrandEst_Aube_IA,"Buchères ""PLA D37"" (Grand Est Region, Aube Department, Troyes Arrondissement)",France,48.2333,4.1167,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.25136642,0.22666152,414282,251260,133702,272759,63766,M,..,n/a (<300K SNPs),n/a (<300K SNPs),G-Z1815,G2a2b2a1a1b,..,..,U4b1a3a,..,0.1874,0.096,n/a (female),n/a (female),..,..,0.54,Pass,"sex.ratio.shotgun=0.096, saved by hapConX=[0,0.005]",Western_European,-375
BUCH48-2.SG,5953,BUCH48-2,BUCH48-2,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: Archaeological,2325,72.0,500-250 BCE,adult,France_GrandEst_Aube_IA,"Buchères ""PLA D37"" (Grand Est Region, Aube Department, Troyes Arrondissement)",France,48.2333,4.1167,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.11962136,0.10389538,211136,129444,67507,139331,32084,M,..,n/a (<300K SNPs),n/a (<300K SNPs),R-P297,R1b1a1,..,..,K2,..,0.1779,0.084,..,"[0,0.008]",..,..,0.13,Pass,"sex.ratio.shotgun=0.084, saved by hapConX=[0,0.008]",Western_European,-375
BUCH82.SG,5954,BUCH82,BUCH82,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: Hallstatt C/La Tène C1,2425,159.0,750-200 BCE,adult,France_GrandEst_Aube_IA,"Buchères ""PLA D37"" (Grand Est Region, Aube Department, Troyes Arrondissement)",France,48.2333,4.1167,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.09623348,0.08359785,171095,104998,54919,113084,26304,F,..,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),n/a (female),..,K1a,..,0.1906,0.001,n/a (female),n/a (female),..,..,0.29,Pass,..,Western_European,-475
CHF106.SG,5955,CHF106,CHF106,..,FisherPruvostiScience2022,FisherPruvostiScience2022,https://doi.org/10.1016/j.isci.2022.104094,ENA:PRJEB50940,Context: La Tène A,2400,29.0,500-400 BCE,adult,France_GrandEst_Aube_IA,"Champfleury ""RN51"" (Grand Est Region, Aube Department, Nogent-sur-Seine Arrondissement, Marne)",France,48.6167,4.0,Native pulldown on 3.2M snpset,SG,Shotgun,..,0.16461114,0.14274991,282387,173451,90327,186930,42903,M,..,n/a (<300K SNPs),n/a (<300K SNPs),R-L151,R1b1a1b1a1a,..,..,U4a1d,..,0.0375,0.084,..,"[0,0.004]",..,..,0.18,Pass,"sex.ratio.shotgun=0.084, saved by hapConX=[0,0.004]",Western_European,-450
